@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute handpos-1 {0,1,2,3,4,5}

@data
3687,'2017/02/21 02:13:58:068',7,-25.910038,4.242958,2
3688,'2017/02/21 02:13:58:084',7,-24.490442,4.612457,2
3689,'2017/02/21 02:13:58:106',7,-23.431522,4.837746,2
3690,'2017/02/21 02:13:58:116',7,-21.635511,4.732964,2
3691,'2017/02/21 02:13:58:134',7,-20.610016,3.861526,2
3692,'2017/02/21 02:13:58:149',7,-18.52475,2.111046,2
3693,'2017/02/21 02:13:58:168',7,-15.883397,0.394913,2
3694,'2017/02/21 02:13:58:182',7,-14.433334,-0.035973,2
3695,'2017/02/21 02:13:58:199',7,-13.239109,-0.369621,2
3696,'2017/02/21 02:13:58:216',7,-13.356083,-1.041817,2
3697,'2017/02/21 02:13:58:233',7,-13.649256,-1.747177,2
3698,'2017/02/21 02:13:58:250',7,-13.963017,-2.561028,2
3699,'2017/02/21 02:13:58:266',7,-13.833023,-2.935593,2
3700,'2017/02/21 02:13:58:283',7,-13.552342,-3.20298,2
3701,'2017/02/21 02:13:58:300',7,-13.283339,-3.403664,2
3702,'2017/02/21 02:13:58:316',7,-12.974619,-3.638519,2
3703,'2017/02/21 02:13:58:332',7,-12.711615,-3.882225,2
3704,'2017/02/21 02:13:58:352',7,-12.41045,-4.303825,2
3705,'2017/02/21 02:13:58:366',7,-11.894714,-5.266045,2
3706,'2017/02/21 02:13:58:388',7,-11.668639,-5.512558,2
3707,'2017/02/21 02:13:58:399',7,-11.594731,-5.496872,2
3708,'2017/02/21 02:13:58:416',7,-11.457226,-5.520821,2
3709,'2017/02/21 02:13:58:433',7,-10.715755,-5.865669,2
3710,'2017/02/21 02:13:58:451',7,-8.558832,-7.655128,2
3711,'2017/02/21 02:13:58:470',7,-8.410974,-9.412018,2
3712,'2017/02/21 02:13:58:489',7,-8.455534,-9.948677,2
3713,'2017/02/21 02:13:58:506',7,-8.610028,-10.573692,2
3714,'2017/02/21 02:13:58:522',7,-9.026898,-11.374527,2
3715,'2017/02/21 02:13:58:539',7,-9.222787,-11.812737,2
3716,'2017/02/21 02:13:58:556',7,-9.326715,-11.972183,2
3717,'2017/02/21 02:13:58:573',7,-9.179121,-12.117691,2
3718,'2017/02/21 02:13:58:589',7,-8.613991,-11.589218,2
3719,'2017/02/21 02:13:58:609',7,-8.385971,-11.371941,2
3720,'2017/02/21 02:13:58:624',7,-8.27065,-11.230682,2
3721,'2017/02/21 02:13:58:640',7,-8.356686,-11.166542,2
3722,'2017/02/21 02:13:58:656',7,-8.918055,-11.271278,2
3723,'2017/02/21 02:13:58:672',7,-9.489851,-11.136169,2
3724,'2017/02/21 02:13:58:689',7,-10.233366,-11.039154,2
3725,'2017/02/21 02:13:58:706',7,-10.982681,-10.870979,2
3726,'2017/02/21 02:13:58:722',7,-11.87479,-10.600182,2
3727,'2017/02/21 02:13:58:739',7,-12.337805,-10.404762,2
3728,'2017/02/21 02:13:58:756',7,-12.742655,-9.053856,2
3729,'2017/02/21 02:13:58:772',7,-13.024351,-7.731079,2
3730,'2017/02/21 02:13:58:789',7,-13.43294,-6.330994,2
3731,'2017/02/21 02:13:58:806',7,-13.763464,-5.722305,2
3732,'2017/02/21 02:13:58:822',7,-14.015274,-5.193817,2
3733,'2017/02/21 02:13:58:839',7,-14.223761,-4.630981,2
3734,'2017/02/21 02:13:58:858',7,-14.23406,-3.994308,2
3735,'2017/02/21 02:13:58:871',7,-14.221512,-3.372787,2
3736,'2017/02/21 02:13:58:888',7,-14.196749,-2.828232,2
3737,'2017/02/21 02:13:58:905',7,-14.254013,-2.462929,2
3738,'2017/02/21 02:13:58:921',7,-14.171204,-2.026314,2
3739,'2017/02/21 02:13:58:938',7,-14.335408,-1.768311,2
3740,'2017/02/21 02:13:58:955',7,-14.413517,-1.560577,2
3741,'2017/02/21 02:13:58:972',7,-14.471874,-1.48069,2
3742,'2017/02/21 02:13:58:989',7,-14.49999,-1.366089,2
3743,'2017/02/21 02:13:59:005',7,-14.5751,-1.326355,2
3744,'2017/02/21 02:13:59:022',7,-14.715952,-1.312775,2
3745,'2017/02/21 02:13:59:038',7,-15.072269,-1.459274,2
3746,'2017/02/21 02:13:59:055',7,-15.320205,-1.469666,2
3747,'2017/02/21 02:13:59:071',7,-15.533643,-1.488235,2
3748,'2017/02/21 02:13:59:088',7,-15.648659,-1.481873,2
3749,'2017/02/21 02:13:59:108',7,-15.825171,-1.449127,2
3750,'2017/02/21 02:13:59:121',7,-16.157032,-1.679146,2
3751,'2017/02/21 02:13:59:139',7,-16.308369,-1.874405,2
3752,'2017/02/21 02:13:59:163',7,-16.466284,-2.141998,2
3753,'2017/02/21 02:13:59:171',7,-16.489349,-2.234978,2
3754,'2017/02/21 02:13:59:187',7,-16.481995,-2.415489,2
3755,'2017/02/21 02:13:59:205',7,-16.434505,-2.58728,2
